File,Line,InstancesCountPerLine,FeatureCountPerLine,Content,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L52,L51,L50,L49,L48,L47,L46,L45,L44,L43,L42,L41,L40,L39,L38,L37,L36,L35,L34,L33,L32,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60
4957-30119-0010,10,1,1,were just getting ripe he showed the patch with much pride one day to the nieces saying here's the most extry fine melling patch in this county ef i do say it myself dan brayley he thinks he kin raise mellings but the ol fool ain't got a circumstance to this,fool,got,fool_ain't_got,Noun,VerbPastParticiple,Noun_ain't_VerbPastParticiple,,,,,,,,were,just,getting,ripe,he,showed,the,patch,with,much,pride,one,day,to,the,nieces,saying,here's,the,most,extry,fine,melling,patch,in,this,county,ef,i,do,say,it,myself,dan,brayley,he,thinks,he,kin,raise,mellings,but,the,ol,fool,ain't ,got,a,circumstance,to,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4957-30119-0011,11,1,1,ain't they beauties it seems to me observed patsy gravely that brayley's are just as good we passed his place this morning and wondered how he could raise such enormous melons normous brayley's i'm sure they are finer than these said beth well i'll be jiggered,they,beauties,they_ain't_beauties,PronounPersonal,Noun,PronounPersonal_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ain't ,they,beauties,it,seems,to,me,observed,patsy,gravely,that,brayley's,are,just,as,good,we,passed,his,place,this,morning,and,wondered,how,he,could,raise,such,enormous,melons,normous,brayley's,i'm,sure,they,are,finer,than,these,said,beth,well,i'll,be,jiggered,,,,,,,,,,,,,,,
4957-30119-0018,18,1,1,oh my dear remonstrated louise not understanding it will be such fun replied her cousin with eyes dancing merrily boys always rob melon patches so i don't see why girls shouldn't when shall we do it mister mc nutt there ain't any moon jest now,there,moon,there_ain't_moon,PronounNonReferential,Noun,PronounNonReferential_ain't_Noun,,,,,,,,,,,,,oh,my,dear,remonstrated,louise,not,understanding,it,will,be,such,fun,replied,her,cousin,with,eyes,dancing,merrily,boys,always,rob,melon,patches,so,i,don't,see,why,girls,shouldn't,when,shall,we,do,it,mister,mc,nutt,there,ain't ,any,moon,jest,now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4957-30119-0038,38,1,1,i could tell by the second class taste o them mellings an their measley little size them things ain't a circumstance to the kind i raise are you sure asked louise,things,circumstance,things_ain't_circumstance,Noun,Noun,Noun_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,could,tell,by,the,second,class,taste,o,them,mellings,an,their,measley,little,size,them,things,ain't ,a,circumstance,to,the,kind,i,raise,are,you,sure,asked,louise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497-129325-0016,16,1,1,yer'd have been locked up hard and fast a week ago my lady and serve yer right for being a fool i know i ain't as cunning as you are replied charlotte but don't put all the blame on me and say i should have been locked up you would have been,I,cunning,I_ain't_cunning,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yer'd,have,been,locked,up,hard,and,fast,a,week,ago,my,lady,and,serve,yer,right,for,being,a,fool,i,know,i,ain't ,as,cunning,as,you,are,replied,charlotte,but,don't,put,all,the,blame,on,me,and,say,i,should,have,been,locked,up,you,would,have,been,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497-129325-0060,60,1,1,with the packages while noah held the door open and watched her out she's kept tolerably well under ain't she he asked as he resumed his seat in the tone of a keeper who had tamed some wild animal,she,constituentboundary,she_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,with,the,packages,while,noah,held,the,door,open,and,watched,her,out,she's,kept,tolerably,well,under,ain't ,she,he,asked,as,he,resumed,his,seat,in,the,tone,of,a,keeper,who,had,tamed,some,wild,animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497-129325-0074,74,1,1,i don't think that would answer my purpose ain't there any other line open stop said fagin laying his hand on noah's knee the kinchin lay what's that,there,line,there_ain't_line,PronounNonReferential,Noun,PronounNonReferential_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,don't,think,that,would,answer,my,purpose,ain't ,there,any,other,line,open,stop,said,fagin,laying,his,hand,on,noah's,knee,the,kinchin,lay,what's,that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4992-41797-0005,5,1,1,done he ain't done a thing he'd oughter sence he was born,he,done,he_ain't_done,PronounPersonal,VerbPastParticiple,PronounPersonal_ain't_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,done,he,ain't ,done,a,thing,he'd,oughter,sence,he,was,born,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4992-41806-0010,10,1,1,ain't they the greatest,they,greatest,they_ain't_greatest,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ain't ,they,the,greatest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501-125128-0011,11,1,1,mostly of mahogany lined with green baize or leather with a lot of little drawers in it now you won't think i take a liberty when i mention that you certainly ain't that certainly not said mister rokesmith but he had used the word,you,that,you_ain't_that,PronounPersonal,PronounDemonstrative,PronounPersonal_ain't_PronounDemonstrative,,,,,,,,,,,,,,,,,,,,,,mostly,of,mahogany,lined,with,green,baize,or,leather,with,a,lot,of,little,drawers,in,it,now,you,won't,think,i,take,a,liberty,when,i,mention,that,you,certainly,ain't ,that,certainly,not,said,mister,rokesmith,but,he,had,used,the,word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5039-1189-0050,50,1,1,mah coal black lulu ah wants mah loo loo loo loo loo loo lu ah loves mah lulu mah coal black lulu there ain't nobody else loves loo loo lu here shut that off,there,nobody,there_ain't_nobody,PronounNonReferential,PronounIndefinite,PronounNonReferential_ain't_PronounIndefinite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mah,coal,black,lulu,ah,wants,mah,loo,loo,loo,loo,loo,loo,lu,ah,loves,mah,lulu,mah,coal,black,lulu,there,ain't ,nobody,else,loves,loo,loo,lu,here,shut,that,off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5093-29101-0020,20,1,1,ah i see how far from here is columbus river does that stream empty that why that's goose run thar ain't no columbus thout'n it's over to hawkeye interrupted one of the citizens who had come out to stare at the strangers,thar,Columbus,thar_ain't_Columbus,PronounNonReferential,Noun,PronounNonReferential_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ah,i,see,how,far,from,here,is,columbus,river,does,that,stream,empty,that,why,that's,goose,run,thar,ain't ,no,columbus,thout'n,it's,over,to,hawkeye,interrupted,one,of,the,citizens,who,had,come,out,to,stare,at,the,strangers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512-124549-0004,4,1,1,they say there's a chance we may get another factory cream separator works he added you might try to look interested even if you ain't the baby was frightened by the jovian roar ran wailing to hide his face in carol's lap,you,baby,you_ain't_baby,PronounPersonal,Noun,PronounPersonal_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,they,say,there's,a,chance,we,may,get,another,factory,cream,separator,works,he,added,you,might,try,to,look,interested,even,if,you,ain't ,the,baby,was,frightened,by,the,jovian,roar,ran,wailing,to,hide,his,face,in,carol's,lap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512-124549-0023,23,1,1,and you and all these long haired men and short haired women can beef all you want to but we're going to take these fellows and if they ain't patriotic we're going to make them be patriotic and lord knows i never thought i'd have to say this to my own wife,they,patriotic,they_ain't_patriotic,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,and,you,and,all,these,long,haired,men,and,short,haired,women,can,beef,all,you,want,to,but,we're,going,to,take,these,fellows,and,if,they,ain't ,patriotic,we're,going,to,make,them,be,patriotic,and,lord,knows,i,never,thought,i'd,have,to,say,this,to,my,own,wife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5126-27504-0008,8,1,1,and falls backards and breaks his neck if he ain't watched whose business was it to have learned me better that i can't rightly say but it seemed it was the business of the government people to gaol me and iron me and flog me was that justice,he,watched,he_ain't_watched,PronounPersonal,VerbPastParticiple,PronounPersonal_ain't_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,falls,backards,and,breaks,his,neck,if,he,ain't ,watched,whose,business,was,it,to,have,learned,me,better,that,i,can't,rightly,say,but,it,seemed,it,was,the,business,of,the,government,people,to,gaol,me,and,iron,me,and,flog,me,was,that,justice,,,,,,,,,,,,,,,,,,,,,,
5139-30105-0038,38,1,1,i wish you would open your heart to me and tell me about that great trouble nora i might be able to comfort you in some way the blind woman shook her head there's no comfort but in forgettin she said an the way to forgit ain't to talk about it,way,talk,way_ain't_talk,Noun,VerbBase,Noun_ain't_VerbBase,,,,,,,i,wish,you,would,open,your,heart,to,me,and,tell,me,about,that,great,trouble,nora,i,might,be,able,to,comfort,you,in,some,way,the,blind,woman,shook,her,head,there's,no,comfort,but,in,forgettin,she,said,an,the,way,to,forgit,ain't ,to,talk,about,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5172-29468-0004,4,1,1,said lord arden richard is asleep i suppose i suppose so my lord said beale sleepy and puzzled you have given me some anxiety i had to come up to make sure he was here but e ain't ere said beale,e,ere,e_ain't_ere,PronounPersonal,Adverb,PronounPersonal_ain't_Adverb,,,,,,,,,,,,,,,,said,lord,arden,richard,is,asleep,i,suppose,i,suppose,so,my,lord,said,beale,sleepy,and,puzzled,you,have,given,me,some,anxiety,i,had,to,come,up,to,make,sure,he,was,here,but,e,ain't ,ere,said,beale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5189-56574-0025,25,1,1,it ain't a assessorship i want sez he,it,assessorship,it_ain't_assessorship,PronounPersonal,Noun,PronounPersonal_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,it,ain't ,a,assessorship,i,want,sez,he,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5190-87766-0023,23,1,1,i have sat chatting with three hoboes by a railroad track cooking themselves a mulligan in an old can and heard one of them say by god it's a queer thing ain't it mate,it,constituentboundary,it_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,,,,,i,have,sat,chatting,with,three,hoboes,by,a,railroad,track,cooking,themselves,a,mulligan,in,an,old,can,and,heard,one,of,them,say,by,god,it's,a,queer,thing,ain't ,it,mate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5246-30101-0025,25,1,1,she carried a book but did not open it ain't much to tell sir bout them folks replied the agent cap'n wegg brung the huckses with him when he settled here wegg were a sea cap'n ye see,it,much,it_ain't_much,PronounPersonal,PronounIndefinite,PronounPersonal_ain't_PronounIndefinite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,she,carried,a,book,but,did,not,open,it,ain't ,much,to,tell,sir,bout,them,folks,replied,the,agent,cap'n,wegg,brung,the,huckses,with,him,when,he,settled,here,wegg,were,a,sea,cap'n,ye,see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5246-30101-0031,31,1,1,crazy as a loon the agent hitched uneasily on the lawn bench where he was seated and then continued hastily but thet ain't neither here ner there a baby was born arter a time,thet,here,thet_ain't_here,PronounDemonstrative,Adverb,PronounDemonstrative_ain't_Adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crazy,as,a,loon,the,agent,hitched,uneasily,on,the,lawn,bench,where,he,was,seated,and,then,continued,hastily,but,thet,ain't ,neither,here,ner,there,a,baby,was,born,arter,a,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5304-55856-0011,11,1,1,well gent i says it's up to youse de editor ain't in but if you feels lonesome push t'roo dere's plenty dere to keep youse company i can't be boddered and what more could you have said agreed smith approvingly tell me,editor,in,editor_ain't_in,Noun,Preposition,Noun_ain't_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,well,gent,i,says,it's,up,to,youse,de,editor,ain't ,in,but,if,you,feels,lonesome,push,t'roo,dere's,plenty,dere,to,keep,youse,company,i,can't,be,boddered,and,what,more,could,you,have,said,agreed,smith,approvingly,tell,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5321-53046-0044,44,1,1,and all just the same as it used to be i guess she is a sight of trouble and missus joel ain't the woman to like that but there she has to work most awful hard,Joel,woman,Joel_ain't_woman,Noun,Noun,Noun_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,all,just,the,same,as,it,used,to,be,i,guess,she,is,a,sight,of,trouble,and,missus,joel,ain't ,the,woman,to,like,that,but,there,she,has,to,work,most,awful,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534-127538-0009,9,1,1,but there's one thing not clear to me there was an echo now no man ever seen a sperrit with a shadow well then what's he doing with an echo to him i should like to know that ain't in natur surely,that,in,that_ain't_in,PronounDemonstrative,Preposition,PronounDemonstrative_ain't_Preposition,,,,,,,,,,,,,,,but,there's,one,thing,not,clear,to,me,there,was,an,echo,now,no,man,ever,seen,a,sperrit,with,a,shadow,well,then,what's,he,doing,with,an,echo,to,him,i,should,like,to,know,that,ain't ,in,natur,surely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534-127538-0016,16,1,1,if it ain't no good to swear by what do you suppose a sperrit would give for it not that and he snapped his big fingers halting a moment on his crutch but dick was not to be comforted indeed it was soon plain to me that the lad was falling sick,it,good,it_ain't_good,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,if,it,ain't ,no,good,to,swear,by,what,do,you,suppose,a,sperrit,would,give,for,it,not,that,and,he,snapped,his,big,fingers,halting,a,moment,on,his,crutch,but,dick,was,not,to,be,comforted,indeed,it,was,soon,plain,to,me,that,the,lad,was,falling,sick,,,,,,,,,,,
5361-27491-0013,13,1,1,i remember him giving me a hidin when i was a kiddy for saying something i wasn't sure of my word i was that sore for a week after i couldn't button my shirt but ain't it a pity about jim,it,pity,it_ain't_pity,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,i,remember,him,giving,me,a,hidin,when,i,was,a,kiddy,for,saying,something,i,wasn't,sure,of,my,word,i,was,that,sore,for,a,week,after,i,couldn't,button,my,shirt,but,ain't ,it,a,pity,about,jim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5361-27491-0056,56,1,1,was one of those shilling flasks of brandy they sell for chaps to go on the road with brandy ain't a good thing at all times and seasons and i've seen more than one man or a dozen either that might just as well have sawed away at their throats with a blunt knife as put the first glass to their lips,brandy,thing,brandy_ain't_thing,Noun,Noun,Noun_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,was,one,of,those,shilling,flasks,of,brandy,they,sell,for,chaps,to,go,on,the,road,with,brandy,ain't ,a,good,thing,at,all,times,and,seasons,and,i've,seen,more,than,one,man,or,a,dozen,either,that,might,just,as,well,have,sawed,away,at,their,throats,with,a,blunt,knife,as,put,the,first,glass,to,their,lips,,,,,,,,,,,,,,,,,,
5361-27491-0065,65,1,1,so you've found your way back again have ye he says why i thought you was all on your way to californy by this time ain't this christmas week why i was expecting to come over to ameriky myself one of these days when all the derry was over why what's up with the boy,this,week,this_ain't_week,PronounDemonstrative,Noun,PronounDemonstrative_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,so,you've,found,your,way,back,again,have,ye,he,says,why,i,thought,you,was,all,on,your,way,to,californy,by,this,time,ain't ,this,christmas,week,why,i,was,expecting,to,come,over,to,ameriky,myself,one,of,these,days,when,all,the,derry,was,over,why,what's,up,with,the,boy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5386-4145-0021,21,1,1,why georgiana my dear you are mad ain't you exclaimed he in an excited tone the poor girl remained silent the father saw in a moment that he had spoken too sharply and taking her hand in his he said,you,constituentboundary,you_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,why,georgiana,my,dear,you,are,mad,ain't ,you,exclaimed,he,in,an,excited,tone,the,poor,girl,remained,silent,the,father,saw,in,a,moment,that,he,had,spoken,too,sharply,and,taking,her,hand,in,his,he,said,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5390-30102-0025,25,1,1,don't jerk the bit fer his mouth's tender an it makes him balky ef he balks jest let him rest a time an then speak to him dan ain't vicious he's jest ornery she climbed into the dilapidated old buggy and took the reins,Dan,vicious,Dan_ain't_vicious,Noun,Adjective,Noun_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,don't,jerk,the,bit,fer,his,mouth's,tender,an,it,makes,him,balky,ef,he,balks,jest,let,him,rest,a,time,an,then,speak,to,him,dan,ain't ,vicious,he's,jest,ornery,she,climbed,into,the,dilapidated,old,buggy,and,took,the,reins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5445-21282-0053,53,1,1,i ain't in any pertickler trouble just now if yer wouldn't send a fellow stumpin the country for nothink if you'll just let me alone i'll get a livin for you and the chillen right enough don't you trouble yourself an hold your tongue,I,in,I_ain't_in,PronounPersonal,Preposition,PronounPersonal_ain't_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,ain't ,in,any,pertickler,trouble,just,now,if,yer,wouldn't,send,a,fellow,stumpin,the,country,for,nothink,if,you'll,just,let,me,alone,i'll,get,a,livin,for,you,and,the,chillen,right,enough,don't,you,trouble,yourself,an,hold,your,tongue,,,,,,,,,,,,,,,,,,
5463-39174-0004,4,1,1,moving a pile of ragged coverless books on to the table i hope he'll forgive me for moving them they are not bob's at least not the most of them but mine said the girl but some of them are mine said the boy ain't they grace,they,constituentboundary,they_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,,moving,a,pile,of,ragged,coverless,books,on,to,the,table,i,hope,he'll,forgive,me,for,moving,them,they,are,not,bob's,at,least,not,the,most,of,them,but,mine,said,the,girl,but,some,of,them,are,mine,said,the,boy,ain't ,they,grace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5480-41798-0010,10,1,1,no pop i ain't goin he says it's the same old fair every year land sakes when i was a boy bout once a month in warm weather,I,goin,I_ain't_goin,PronounPersonal,VerbPresentParticiple,PronounPersonal_ain't_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,pop,i,ain't ,goin,he,says,it's,the,same,old,fair,every,year,land,sakes,when,i,was,a,boy,bout,once,a,month,in,warm,weather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5506-69895-0005,5,1,1,throwing gravel at people it ain't what i been accustomed to consider ladylike whether or no mister stringer nodded his head approvingly and for a time they continued to regard the swelling bulks with expressions that had changed from indifference to disapproval,it,what,it_ain't_what,PronounPersonal,PronounRelative,PronounPersonal_ain't_PronounRelative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,throwing,gravel,at,people,it,ain't ,what,i,been,accustomed,to,consider,ladylike,whether,or,no,mister,stringer,nodded,his,head,approvingly,and,for,a,time,they,continued,to,regard,the,swelling,bulks,with,expressions,that,had,changed,from,indifference,to,disapproval,,,,,,,,,,,,,,,,,,,,,,,,
5506-69896-0010,10,1,1,smash up i mean real safe steady controlled flying against the wind good and right you ain't seen that,you,seen,you_ain't_seen,PronounPersonal,VerbPastParticiple,PronounPersonal_ain't_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smash,up,i,mean,real,safe,steady,controlled,flying,against,the,wind,good,and,right,you,ain't ,seen,that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5506-69896-0017,17,1,1,why it must be nineteen hundred and four or five they vanished then there was those people in ireland no i forget their names everybody said they could fly they went they ain't dead that i've heard tell but you can't say they're alive,they,dead,they_ain't_dead,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,why,it,must,be,nineteen,hundred,and,four,or,five,they,vanished,then,there,was,those,people,in,ireland,no,i,forget,their,names,everybody,said,they,could,fly,they,went,they,ain't ,dead,that,i've,heard,tell,but,you,can't,say,they're,alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5635-58137-0014,14,1,1,with a party of friends mister jimmy hurrying out with a slate in his hand begged me to stop a moment and thus addressed me well mister carlton this algebra is a most powerful thing ain't it indeed it is mister jimmy have you been looking into it,it,constituentboundary,it_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,with,a,party,of,friends,mister,jimmy,hurrying,out,with,a,slate,in,his,hand,begged,me,to,stop,a,moment,and,thus,addressed,me,well,mister,carlton,this,algebra,is,a,most,powerful,thing,ain't ,it,indeed,it,is,mister,jimmy,have,you,been,looking,into,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5636-41790-0014,14,1,1,we've got it with us said nancy joyously making acquaintance in an instant you are forehanded ain't you that's right jump,you,constituentboundary,you_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,we've,got,it,with,us,said,nancy,joyously,making,acquaintance,in,an,instant,you,are,forehanded,ain't ,you,that's,right,jump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5653-46179-0041,41,1,1,a ummums that's english ain't it a bloomin turkish baths who do you suppose is goin to take apartments furnished in this ere ridic'loush style,it,constituentboundary,it_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,ummums,that's,english,ain't ,it,a,bloomin,turkish,baths,who,do,you,suppose,is,goin,to,take,apartments,furnished,in,this,ere,ridic'loush,style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5653-46179-0054,54,1,1,come rapkin be reasonable you can't really mean to leave your wife to cook the dinner and serve it too she ain't intending to do neither she've left the house already you must fetch her back cried horace good heavens man,she,intending,she_ain't_intending,PronounPersonal,VerbPresentParticiple,PronounPersonal_ain't_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,come,rapkin,be,reasonable,you,can't,really,mean,to,leave,your,wife,to,cook,the,dinner,and,serve,it,too,she,ain't ,intending,to,do,neither,she've,left,the,house,already,you,must,fetch,her,back,cried,horace,good,heavens,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5660-101854-0006,6,1,1,an the boy bobby back from the city and ain't sadie gettin well an strong on the farm here and it's a comfort ter me too when i remember twas bobby who first found the little margaret,Sadie,getting,Sadie_ain't_getting,Noun,VerbPresentParticiple,Noun_ain't_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,an,the,boy,bobby,back,from,the,city,and,ain't ,sadie,gettin,well,an,strong,on,the,farm,here,and,it's,a,comfort,ter,me,too,when,i,remember,twas,bobby,who,first,found,the,little,margaret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5660-101883-0026,26,1,1,i hain't got nothin ter do yit miss one such said to margaret in answer to her sympathetic inquiries but thar ain't a boss but what said if i'd got kids i might send them along they was short o kids i been tryin ter keep,thar,boss,thar_ain't_boss,PronounNonReferential,Noun,PronounNonReferential_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,hain't,got,nothin,ter,do,yit,miss,one,such,said,to,margaret,in,answer,to,her,sympathetic,inquiries,but,thar,ain't ,a,boss,but,what,said,if,i'd,got,kids,i,might,send,them,along,they,was,short,o,kids,i,been,tryin,ter,keep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5725-48803-0040,40,1,1,i'm sure if you ain't you're very hard hearted for if ever there was a true lover i believe you've got one of your own my if there's not lupex's step on the stair what can bring him home at this hour if he's been drinking he'll come home as cross as anything,you,constituentboundary,you_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i'm,sure,if,you,ain't ,you're,very,hard,hearted,for,if,ever,there,was,a,TRUE,lover,i,believe,you've,got,one,of,your,own,my,if,there's,not,lupex's,step,on,the,stair,what,can,bring,him,home,at,this,hour,if,he's,been,drinking,he'll,come,home,as,cross,as,anything,,,,,,,,,,,,
5731-50777-0023,23,1,1,cried missus ruggles in despair yer look for all the world like a gang o pris'ners there ain't no style ter that spread out more can't yer an act kind o careless like nobody's goin ter kill ye the third time brought deserved success and the pupils took their seats in the row,there,style,there_ain't_style,PronounNonReferential,Noun,PronounNonReferential_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cried,missus,ruggles,in,despair,yer,look,for,all,the,world,like,a,gang,o,pris'ners,there,ain't ,no,style,ter,that,spread,out,more,can't,yer,an,act,kind,o,careless,like,nobody's,goin,ter,kill,ye,the,third,time,brought,deserved,success,and,the,pupils,took,their,seats,in,the,row,,,,,,,,,,,,,,,,,,,,,,,,,
